date,description,amount
2024-03-21,"the Payment Due Date of , you may have to pay a late fee of up to Previous Balance",0.0
2024-02-05,* MOBILE PAYMENT - THANK YOU -,581.1
2024-02-16,* MOBILE PAYMENT - THANK YOU -,251.16
2024-01-27,MARATHON DELI College Park MD,34.45
2024-01-27,LUCKY STRIKE - 787 - BETH 000002085 BETHESDA MD,33.52
2024-01-27,LUCKY STRIKE - 787 - BETH 000002085 BETHESDA MD,30.52
2024-01-28,SPOTIFY USA NEW YORK NY,11.65
2024-01-28,BMU 14 WASHINGTON DC,65.09
2024-01-28,AplPay DD *BB.QCHICKEN SAN FRANCISCO CA,24.32
2024-01-28,AplPay DD *BB.QCHICKEN SAN FRANCISCO CA,24.85
2024-01-30,AplPay DUNKIN #351248 Q35 3512 COLLEGE PARK MD,4.96
2024-01-30,AplPay TST* MILK AND HONEY COLLE 300651631 COLLEGE PARK MD,16.1
2024-01-31,AplPay TST* GRINGOS AND MARIACHI 00009888 BETHESDA MD,16.96
2024-01-31,AplPay DD *DOORDASH BB.QCHICK SAN FRANCISCO CA,22.61
2024-02-03,UBER EATS help.uber.com CA,26.88
2024-02-03,LAZ PARKING M07499 0000 WASHINGTON DC,10.0
2024-02-03,AplPay TST* TATTE BAKERY - CITY 300596397 WASHINGTON DC,50.6
2024-02-04,WINGOS 3 650000010547761 WASHINGTON DC,104.1
2024-02-04,PETER CHANG 0001 COLUMBIA MD,10.08
2024-02-05,UBER EATS help.uber.com CA,20.28
2024-02-05,UBER EATS help.uber.com CA,26.88
2024-02-07,Uber Trip help.uber.com CA,6.98
2024-02-07,AplPay BT*DD *DOORDASH HATCHHOUS SAN FRANCISCO CA,40.0
2024-02-07,AplPay TST* SOKO 00007175 TAKOMA PARK MD,22.26
2024-02-08,AplPay BT*DD *DOORDASH THEMELTDO SAN FRANCISCO CA,25.28
2024-02-10,PETER CHANG 0001 COLUMBIA MD,30.02
2024-02-13,AplPay PETER CHANG 0001 COLUMBIA MD,34.4
2024-02-14,BONCHON - GAITHERSBURG - 000000001 GAITHERSBURG MD,13.98
2024-02-14,AplPay DOMINO'S 4648 000004648 BELTSVILLE MD,21.0
2024-02-17,UBER EATS help.uber.com CA,35.0
2024-02-17,UBER EATS help.uber.com CA,24.77
2024-02-18,AplPay BT*DD *DOORDASH 7-ELEVEN SAN FRANCISCO CA,15.74
2024-02-18,DOK KHAO THAI EATERY AT 0295 COLUMBIA MD,41.23
2024-02-19,AplPay PETER CHANG 0001 COLUMBIA MD,17.92
2024-02-20,AplPay PETER CHANG 0001 COLUMBIA MD,7.84
2024-02-21,AplPay BT*DD *DOORDASH HATCHHOUS SAN FRANCISCO CA,27.58
2024-02-22,AplPay PANDA EXPRESS GERMANTOWN MD,16.86
2024-02-23,TST* GAMEON BAR & ARCADE 00153215 COLUMBIA MD,30.16
2024-02-25,Interest Charge on Pay Over Time Purchases,105.08
2022-08-27,"Pay Over Time  24.24% (v) $5,274.90",105.08
2022-08-27,Cash Advances  29.99% (v),0.0
